Date,MCHI
2011-12-23,31.056806564331055
2011-12-27,30.690353393554688
2011-12-28,30.339170455932617
2011-12-29,30.476587295532227
2011-12-30,30.7132511138916
2012-01-03,31.339275360107422
2012-01-04,31.339275360107422
2012-01-05,31.385082244873047
2012-01-06,30.659812927246094
2012-01-09,31.163684844970703
2012-01-10,32.056922912597656
2012-01-11,32.0950813293457
2012-01-12,31.96529769897461
2012-01-13,31.91185760498047
2012-01-17,32.63712692260742
2012-01-18,33.19443893432617
2012-01-19,33.68304443359375
2012-01-20,33.61432647705078
2012-01-23,34.00368881225586
2012-01-24,33.919708251953125
2012-01-25,34.14873123168945
2012-01-26,34.04948425292969
2012-01-27,34.438846588134766
2012-01-30,33.499813079833984
2012-01-31,33.72883987426758
2012-02-01,34.33960723876953
2012-02-02,34.53046417236328
