Date,GREK
2012-09-05,30.051698684692383
2012-09-06,30.51296043395996
2012-09-07,31.73533058166504
2012-09-10,33.1422004699707
2012-09-11,34.52600860595703
2012-09-12,36.371089935302734
2012-09-13,35.886756896972656
2012-09-14,35.102596282958984
2012-09-17,34.75664138793945
2012-09-18,35.77143859863281
2012-09-19,35.794498443603516
2012-09-20,35.54079818725586
2012-09-21,35.794498443603516
2012-09-24,34.59519958496094
2012-09-25,33.99555206298828
2012-09-26,33.880226135253906
2012-09-27,34.68745422363281
2012-09-28,33.764915466308594
2012-10-01,33.94942855834961
2012-10-02,35.47161102294922
2012-10-03,35.656124114990234
2012-10-04,36.20964431762695
2012-10-05,38.954185485839844
2012-10-08,38.72355651855469
2012-10-09,37.40894317626953
2012-10-10,36.140445709228516
